a	b
0	0
1	1
2	2
3	3
5	4
6	5
7	6
10	7
11	8
12	9
13	10
15	11
17	12
21	13
24	14
25	15
27	16
28	17
30	18
31	19
33	20
34	21
35	22
36	23
37	24
38	25
39	26
40	27
42	28
43	29
44	30
45	31
49	32
50	33
54	34
57	35
58	36
61	37
62	38
65	39
66	40
68	41
71	42
72	43
76	44
78	45
79	46
80	47
81	48
82	49
84	50
86	51
87	52
88	53
89	54
90	55
92	56
94	57
95	58
97	59
99	60
102	61
103	62
104	63
107	64
109	65
110	66
112	67
113	68
115	69
116	70
117	71
119	72
120	73
121	74
122	75
124	76
125	77
131	78
132	79
133	80
134	81
135	82
137	83
140	84
141	85
142	86
143	87
144	88
146	89
147	90
148	91
149	92
150	93
154	94
155	95
156	96
159	97
161	98
166	99
168	100
172	101
174	102
175	103
179	104
180	105
183	106
184	107
185	108
187	109
188	110
191	111
197	112
199	113
200	114
201	115
202	116
203	117
205	118
208	119
211	120
212	121
213	122
214	123
215	124
218	125
219	126
223	127
225	128
226	129
229	130
230	131
231	132
233	133
234	134
235	135
238	136
241	137
243	138
244	139
245	140
247	141
248	142
249	143
251	144
252	145
254	146
255	147
256	148
257	149
259	150
260	151
262	152
263	153
264	154
265	155
267	156
268	157
269	158
270	159
272	160
274	161
275	162
277	163
278	164
279	165
280	166
281	167
287	168
288	169
289	170
290	171
292	172
296	173
298	174
300	175
301	176
302	177
303	178
304	179
306	180
307	181
311	182
315	183
316	184
318	185
319	186
321	187
322	188
323	189
324	190
325	191
327	192
328	193
329	194
330	195
331	196
333	197
336	198
337	199
338	200
340	201
342	202
343	203
344	204
349	205
351	206
352	207
353	208
354	209
355	210
358	211
360	212
361	213
362	214
365	215
370	216
374	217
375	218
377	219
381	220
382	221
386	222
388	223
390	224
394	225
397	226
398	227
399	228
400	229
401	230
402	231
404	232
405	233
406	234
407	235
409	236
410	237
411	238
412	239
413	240
415	241
416	242
418	243
422	244
423	245
424	246
425	247
431	248
432	249
433	250
434	251
435	252
436	253
441	254
442	255
443	256
444	257
445	258
448	259
450	260
451	261
453	262
454	263
456	264
458	265
460	266
461	267
464	268
465	269
466	270
468	271
469	272
472	273
473	274
475	275
479	276
480	277
484	278
486	279
487	280
488	281
489	282
490	283
491	284
493	285
495	286
498	287
499	288
501	289
502	290
503	291
504	292
506	293
507	294
513	295
514	296
515	297
516	298
519	299
520	300
521	301
522	302
523	303
524	304
525	305
526	306
528	307
530	308
531	309
533	310
534	311
535	312
536	313
537	314
538	315
539	316
545	317
546	318
547	319
548	320
549	321
550	322
552	323
554	324
555	325
556	326
557	327
558	328
559	329
560	330
565	331
566	332
576	333
577	334
578	335
579	336
580	337
583	338
584	339
585	340
586	341
588	342
591	343
593	344
596	345
602	346
603	347
604	348
606	349
607	350
608	351
609	352
610	353
612	354
613	355
614	356
616	357
617	358
622	359
623	360
624	361
625	362
626	363
627	364
628	365
631	366
632	367
634	368
635	369
636	370
638	371
639	372
640	373
642	374
646	375
647	376
650	377
651	378
652	379
654	380
657	381
660	382
661	383
662	384
664	385
666	386
667	387
668	388
670	389
672	390
674	391
676	392
681	393
682	394
688	395
689	396
691	397
694	398
695	399
699	400
702	401
703	402
704	403
706	404
707	405
710	406
711	407
713	408
714	409
718	410
721	411
723	412
726	413
727	414
728	415
730	416
731	417
732	418
735	419
737	420
738	421
740	422
743	423
745	424
746	425
747	426
748	427
750	428
751	429
752	430
753	431
754	432
755	433
756	434
758	435
759	436
761	437
762	438
763	439
764	440
765	441
766	442
767	443
769	444
770	445
771	446
772	447
773	448
774	449
775	450
776	451
778	452
779	453
781	454
784	455
785	456
786	457
787	458
788	459
789	460
790	461
791	462
794	463
796	464
797	465
798	466
799	467
800	468
804	469
805	470
807	471
810	472
812	473
813	474
814	475
815	476
816	477
817	478
819	479
821	480
822	481
823	482
825	483
828	484
829	485
832	486
834	487
837	488
839	489
842	490
843	491
845	492
847	493
850	494
851	495
852	496
853	497
854	498
855	499
857	500
858	501
859	502
862	503
863	504
865	505
867	506
870	507
871	508
874	509
875	510
876	511
879	512
880	513
883	514
885	515
886	516
887	517
888	518
891	519
892	520
895	521
896	522
898	523
901	524
902	525
903	526
904	527
905	528
906	529
908	530
909	531
910	532
911	533
912	534
913	535
915	536
917	537
918	538
919	539
920	540
921	541
922	542
929	543
931	544
933	545
934	546
937	547
938	548
940	549
943	550
944	551
946	552
948	553
950	554
951	555
952	556
957	557
958	558
959	559
960	560
963	561
964	562
965	563
966	564
967	565
969	566
970	567
971	568
972	569
973	570
974	571
975	572
976	573
977	574
979	575
980	576
981	577
982	578
987	579
989	580
990	581
991	582
992	583
993	584
994	585
995	586
999	587
1000	588
1001	589
1002	590
1005	591
1007	592
1009	593
1012	594
1013	595
1014	596
1015	597
1016	598
1021	599
1022	600
1023	601
1024	602
1026	603
1028	604
1029	605
1030	606
1031	607
1032	608
1033	609
1034	610
1036	611
1037	612
1039	613
1041	614
1042	615
1045	616
1047	617
1048	618
1050	619
1051	620
1057	621
1058	622
1059	623
1060	624
1061	625
1062	626
1067	627
1072	628
1074	629
1075	630
1078	631
1082	632
1083	633
1084	634
1087	635
1088	636
1091	637
1092	638
1094	639
1095	640
1096	641
1097	642
1098	643
1099	644
1102	645
1104	646
1105	647
1106	648
1107	649
1109	650
1110	651
1112	652
1113	653
1115	654
1116	655
1118	656
1119	657
1121	658
1122	659
1123	660
1124	661
1125	662
1126	663
1127	664
1129	665
1130	666
1133	667
1135	668
1136	669
1137	670
1139	671
1143	672
1145	673
1146	674
1148	675
1149	676
1152	677
1153	678
1154	679
1156	680
1157	681
1158	682
1159	683
1161	684
1162	685
1163	686
1164	687
1166	688
1167	689
1171	690
1175	691
1176	692
1177	693
1178	694
1179	695
1180	696
1181	697
1182	698
1183	699
1185	700
1188	701
1191	702
1196	703
1199	704
1200	705
1204	706
1205	707
1206	708
1208	709
1209	710
1210	711
1211	712
1212	713
1213	714
1215	715
1216	716
1218	717
1221	718
1223	719
1224	720
1225	721
1226	722
1227	723
1231	724
1232	725
1236	726
1240	727
1242	728
1243	729
1244	730
1245	731
1247	732
1249	733
1253	734
1254	735
1255	736
1258	737
1259	738
1260	739
1261	740
1263	741
1264	742
1266	743
1267	744
1268	745
1271	746
1272	747
1275	748
1276	749
1277	750
1279	751
1281	752
1282	753
1287	754
1291	755
1292	756
1295	757
1297	758
1298	759
1299	760
1302	761
1303	762
1305	763
1307	764
1309	765
1311	766
1312	767
1316	768
1317	769
1318	770
1320	771
1325	772
1327	773
1328	774
1329	775
1331	776
1333	777
1334	778
1335	779
1336	780
1337	781
1340	782
1341	783
1342	784
1344	785
1347	786
1350	787
1351	788
1352	789
1353	790
1354	791
1355	792
1356	793
1357	794
1358	795
1359	796
1361	797
1364	798
1365	799
1368	800
1371	801
1372	802
1373	803
1375	804
1376	805
1378	806
1380	807
1381	808
1382	809
1383	810
1384	811
1385	812
1386	813
1387	814
1389	815
1390	816
1391	817
1392	818
1393	819
1396	820
1397	821
1398	822
1399	823
1400	824
1401	825
1402	826
1404	827
1406	828
1407	829
1408	830
1414	831
1416	832
1418	833
1420	834
1421	835
1422	836
1423	837
1424	838
1425	839
1427	840
1428	841
1431	842
1432	843
1433	844
1434	845
1435	846
1436	847
1438	848
1442	849
1447	850
1449	851
1453	852
1454	853
1455	854
1457	855
1458	856
1459	857
1461	858
1463	859
1466	860
1468	861
1470	862
1471	863
1473	864
1474	865
1475	866
1476	867
1478	868
1479	869
1480	870
1481	871
1483	872
1484	873
1485	874
1487	875
1488	876
1490	877
1491	878
1493	879
1494	880
1495	881
1498	882
1500	883
1501	884
1503	885
1504	886
1505	887
1506	888
1507	889
1509	890
1510	891
1513	892
1514	893
1515	894
1517	895
1518	896
1519	897
1521	898
1523	899
1524	900
1525	901
1526	902
1530	903
1531	904
1532	905
1534	906
1535	907
1536	908
1537	909
1539	910
1540	911
1543	912
1546	913
1547	914
1548	915
1553	916
1554	917
1556	918
1558	919
1560	920
1561	921
1562	922
1563	923
1564	924
1568	925
1569	926
1570	927
1571	928
1572	929
1574	930
1576	931
1578	932
1579	933
1580	934
1581	935
1584	936
1586	937
1587	938
1589	939
1592	940
1593	941
1594	942
1597	943
1598	944
1599	945
1602	946
1603	947
1604	948
1605	949
1606	950
1609	951
1612	952
1614	953
1615	954
1616	955
1617	956
1618	957
1620	958
1623	959
1625	960
1627	961
1629	962
1630	963
1631	964
1632	965
1633	966
1635	967
1636	968
1638	969
1640	970
1642	971
1643	972
1644	973
1645	974
1646	975
1651	976
1655	977
1657	978
