,genen,like,genem
0,3,53401,1
1,3,42146,1
2,3,10182,1
3,12,34094,1
4,12,16243,1
5,12,5773,1
6,12,17315,1
7,17,53401,1
8,38,38180,1
9,38,28904,1
10,38,34205,1
11,50,43711,1
12,50,17255,1
13,50,37027,1
14,54,36383,1
15,61,34205,1
16,61,28904,1
17,86,51254,1
18,86,10133,1
19,100,40203,1
20,100,273,1
21,100,31147,1
22,100,34205,1
23,107,39496,1
24,107,13844,1
25,107,36254,1
26,107,22259,1
27,107,9310,1
28,107,19359,1
29,112,38180,1
30,112,34205,1
31,112,15461,1
32,112,28904,1
33,112,7376,1
34,118,41376,1
35,118,17255,1
36,118,36001,1
37,118,23005,1
38,118,18856,1
39,126,29580,1
40,126,47184,1
41,126,34205,1
42,126,15884,1
43,126,10940,1
44,126,28898,1
45,139,10940,1
46,141,13514,1
47,146,18677,1
48,146,19082,1
49,146,50382,1
50,146,4936,1
51,146,10872,1
52,146,14977,1
53,146,25426,1
54,146,30794,1
55,146,51858,1
56,146,5673,1
57,146,38728,1
58,146,25837,1
59,146,41308,1
60,146,29905,1
61,146,16808,1
62,146,14366,1
63,146,13399,1
64,146,15940,1
65,146,4087,1
66,146,27902,1
67,146,38737,1
68,146,11598,1
69,146,819,1
70,146,32984,1
71,146,13428,1
72,146,19928,1
73,146,7652,1
74,146,34205,1
75,146,17931,1
76,146,21223,1
77,146,41485,1
78,146,31463,1
79,146,48078,1
80,146,11810,1
81,222,19265,1
82,231,10544,1
83,231,14180,1
84,231,44327,1
85,231,13248,1
86,247,28904,1
87,247,34205,1
88,273,12791,1
89,275,34205,1
90,275,38180,1
91,275,11013,1
92,281,28904,1
93,283,28904,1
94,283,38180,1
95,299,19265,1
96,321,4277,1
97,345,26708,1
98,345,52514,1
99,345,17772,1
100,345,8456,1
101,345,11296,1
102,345,43711,1
103,345,38947,1
104,345,48078,1
105,345,27812,1
106,345,37027,1
107,345,19472,1
108,345,10108,1
109,345,21188,1
110,345,12566,1
111,345,19238,1
112,345,20243,1
113,347,2711,1
114,350,748,1
115,350,33308,1
116,350,43899,1
117,350,26605,1
118,350,19414,1
119,350,36138,1
120,350,13935,1
121,350,23365,1
122,350,31654,1
123,361,45101,1
124,361,26605,1
125,388,17255,1
126,406,21188,1
127,406,17772,1
128,406,37027,1
129,406,52514,1
130,406,8456,1
131,406,20243,1
132,406,38947,1
133,411,38071,1
